song_popularity,song_duration_ms,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,speechiness,tempo,audio_valence
74,217652,0.267,0.815,0.626,1.31E-05,6,0.275,-5.139,0.103,109.989,0.571
77,199095,0.398,0.751,0.579,2.28E-05,2,0.133,-4.036,0.0321,105.031,0.349
45,185743,0.0749,0.736,0.906,0.000123,4,0.12,-1.49,0.0566,93.013,0.611
52,166253,0.00245,0.695,0.818,3.36E-06,6,0.305,-5.532,0.0482,102.976,0.599
38,234373,0.00323,0.543,0.847,0,9,0.0551,-3.574,0.0659,92.046,0.65
46,193846,0.271,0.841,0.841,2.60E-05,9,0.108,-4.288,0.0633,104.01,0.823
44,208800,0.425,0.777,0.546,0,7,0.0809,-9.504,0.207,147.173,0.952
75,211437,0.102,0.84,0.789,0,1,0.309,-4.695,0.0949,92.018,0.619
75,202853,0.181,0.831,0.713,0,1,0.0572,-3.646,0.094,132.109,0.69
45,198386,0.0797,0.825,0.481,0,2,0.239,-8.6,0.0396,121.046,0.761
53,224413,0.235,0.682,0.751,0,8,0.11,-5.812,0.0675,129.937,0.708
38,218448,0.00694,0.799,0.616,0.00237,5,0.283,-4.599,0.0415,127.023,0.697
60,176702,0.196,0.921,0.965,0.000201,1,0.323,-1.396,0.178,120.902,0.507
39,133120,0.108,0.703,0.617,5.61E-05,7,0.271,-8.732,0.0731,123.159,0.435
88,201526,0.165,0.792,0.895,0,1,0.0501,-3.112,0.0589,94.968,0.794
77,216689,0.0983,0.596,0.557,0,1,0.0565,-7.522,0.134,133.247,0.661
68,226183,0.0705,0.746,0.738,0,9,0.043,-3.67,0.207,94.808,0.63
46,215003,0.0079,0.493,0.825,0,8,0.129,-4.056,0.0798,99.866,0.621
44,175239,0.0429,0.836,0.725,0,7,0.108,-5.445,0.0571,126.035,0.76
37,161093,0.00436,0.701,0.779,0,11,0.121,-4.657,0.0647,119.974,0.451
53,182224,0.149,0.871,0.563,0,10,0.0568,-8.329,0.0795,91.998,0.62
65,215421,0.0507,0.65,0.801,0,7,0.0645,-5.407,0.0723,166.16,0.74
68,196018,0.265,0.784,0.437,6.98E-05,5,0.126,-7.868,0.0509,90.003,0.47
59,204453,0.133,0.494,0.729,0,2,0.143,-4.934,0.161,78.833,0.421
43,229038,0.0199,0.561,0.58,0,5,0.0619,-5.612,0.0414,84.98,0.294
53,191906,0.369,0.483,0.685,0,10,0.0817,-3.232,0.174,185.502,0.546
54,237860,0.0762,0.62,0.823,3.13E-05,5,0.112,-2.436,0.0567,175.921,0.404
84,217288,0.0185,0.704,0.859,0,5,0.0215,-4.877,0.0996,105.115,0.926
44,202574,0.586,0.633,0.765,6.89E-05,1,0.0966,-5.732,0.0474,100.934,0.489
40,167823,0.569,0.853,0.714,0.0101,7,0.0716,-6.177,0.0767,92.375,0.836
41,241135,0.0652,0.8,0.837,4.52E-05,7,0.0699,-4.488,0.099,105.026,0.813
37,194011,0.118,0.743,0.793,6.07E-05,2,0.227,-5.032,0.0546,109.921,0.434
79,236133,0.00249,0.646,0.77,0,2,0.0715,-6.596,0.226,99.165,0.681
74,267266,0.202,0.891,0.714,0.000234,4,0.0521,-6.055,0.14,100.972,0.818
10,241933,0.159,0.745,0.666,0,9,0.302,-5.899,0.0566,129.995,0.708
60,198813,0.0279,0.774,0.847,0.0183,5,0.241,-3.925,0.121,143.011,0.923
70,300026,0.342,0.672,0.832,0.000428,11,0.242,-2.388,0.342,117.298,0.549
79,250373,0.0183,0.894,0.791,0,2,0.0388,-4.699,0.112,105.018,0.583
76,338853,0.071,0.375,0.862,0,11,0.211,-3.363,0.255,159.841,0.478
84,218093,0.284,0.778,0.824,0,10,0.405,-5.892,0.0712,100.024,0.756
77,216666,0.217,0.675,0.885,0,1,0.086,-4.432,0.0436,97.03,0.768
84,239600,0.145,0.733,0.71,0.115,5,0.0956,-5.849,0.0292,127.975,0.965
74,246026,0.132,0.775,0.719,1.79E-06,7,0.0662,-6.212,0.0435,117.513,0.712
73,202533,0.0653,0.421,0.873,0,10,0.123,-4.343,0.0565,84.803,0.63
85,269560,0.922,0.422,0.264,0,8,0.132,-7.064,0.0322,119.93,0.331
78,259933,0.154,0.468,0.64,0,0,0.154,-5.862,0.0275,79.297,0.499
78,231240,0.00882,0.613,0.622,0,1,0.37,-5.794,0.0334,80.003,0.484
69,245960,0.235,0.435,0.92,0.000353,4,0.552,-1.357,0.201,188.899,0.45
75,188960,0.00165,0.662,0.741,0.0303,0,0.114,-5.406,0.0334,131,0.404
76,235213,0.103,0.728,0.974,0.000532,4,0.175,-2.261,0.0665,79.526,0.965
71,199693,0.0746,0.755,0.832,1.27E-06,2,0.291,-2.741,0.116,120.032,0.735
71,223933,0.0439,0.764,0.694,3.67E-06,11,0.18,-5.745,0.189,146.075,0.581
77,242733,0.0584,0.967,0.583,0,7,0.0519,-5.562,0.0789,117,0.964
69,252160,0.143,0.659,0.696,0,3,0.13,-4.291,0.071,86.001,0.665
76,261426,0.173,0.63,0.698,0,10,0.0789,-4.51,0.0244,94.023,0.529
65,237120,0.0142,0.824,0.743,2.12E-05,2,0.237,-5.995,0.141,127.046,0.804
73,200400,0.031,0.61,0.926,0.0012,8,0.0821,-4.843,0.0479,172.638,0.861
77,244506,0.0572,0.585,0.776,7.74E-06,5,0.3,-5.898,0.0459,77.987,0.427
80,256733,0.235,0.656,0.578,0,7,0.118,-8.97,0.0922,94.514,0.556
73,238560,0.578,0.457,0.573,3.05E-06,5,0.114,-3.866,0.0275,76.193,0.0992
54,203306,0.00611,0.701,0.7,0,7,0.0295,-4.934,0.0876,122.035,0.625
75,204160,0.0295,0.581,0.963,0,11,0.139,-4.087,0.0981,129.992,0.788
69,198053,0.00761,0.729,0.771,0,4,0.087,-2.451,0.0725,125.011,0.873
79,253813,0.03,0.649,0.552,6.47E-06,1,0.111,-5.419,0.0292,89.969,0.158
67,204000,6.79E-05,0.487,0.9,0,0,0.358,-4.417,0.0482,149.937,0.484
76,224400,0.073,0.724,0.695,0,11,0.0889,-5.226,0.0622,139,0.235
75,252306,0.192,0.671,0.939,0,8,0.298,-3.206,0.161,129.023,0.529
72,193213,0.0383,0.426,0.584,0,1,0.188,-5.293,0.296,193.437,0.272
81,262466,0.188,0.638,0.656,0,5,0.146,-5.886,0.0357,104.036,0.225
63,242013,0.00727,0.814,0.899,0.219,1,0.0979,-5.958,0.0637,119.011,0.545
77,258826,0.0208,0.583,0.786,0,2,0.188,-3.142,0.0301,123.052,0.573
78,270506,0.142,0.843,0.805,0,4,0.0771,-5.946,0.269,94.946,0.615
72,211920,0.00498,0.711,0.7,0.000125,1,0.215,-4.805,0.046,128.001,0.801
62,254040,0.0533,0.524,0.904,0,8,0.776,-2.071,0.398,161.188,0.655
77,211160,0.3,0.751,0.834,1.77E-05,1,0.355,-5.444,0.0437,95.053,0.894
77,288333,0.575,0.624,0.653,0,8,0.104,-6.582,0.176,73.884,0.565
77,248413,0.0426,0.794,0.811,1.07E-06,6,0.101,-8.966,0.038,116.047,0.862
75,249533,0.0161,0.68,0.687,0,9,0.261,-6.162,0.0709,150.053,0.467
78,203786,0.042,0.944,0.511,0.00107,5,0.0379,-10.96,0.161,113.046,0.842
77,259333,0.00577,0.706,0.801,0,5,0.0822,-6.333,0.0399,100.013,0.63
74,221360,0.407,0.53,0.422,0,5,0.107,-6.262,0.0342,119.964,0.349
65,215160,0.000304,0.535,0.886,2.26E-06,11,0.257,-3.106,0.045,126.012,0.445
76,196160,0.236,0.793,0.832,1.12E-05,1,0.202,-4.862,0.0406,107.661,0.872
69,244826,0.0825,0.655,0.488,1.16E-06,1,0.221,-9.17,0.22,91.025,0.791
67,192426,0.0407,0.636,0.873,1.27E-06,0,0.0372,-4.672,0.071,165.071,0.908
77,223440,0.257,0.662,0.507,0,5,0.0465,-8.238,0.118,86.412,0.676
81,203346,0.00172,0.542,0.905,0.0104,9,0.136,-5.653,0.054,153.398,0.374
52,221920,0.0411,0.555,0.923,0,0,0.112,-5.908,0.0482,116.012,0.682
60,236373,0.0204,0.591,0.699,0,8,0.0614,-5.221,0.0449,116.029,0.733
65,252853,0.0328,0.396,0.629,0,9,0.183,-4.78,0.0287,173.794,0.358
69,216600,0.000738,0.56,0.959,0.000206,7,0.209,-2.433,0.102,163.983,0.67
76,210200,0.263,0.653,0.609,0.00101,11,0.233,-7.519,0.037,95.982,0.482
79,230760,0.00552,0.276,0.715,0.000417,0,0.201,-5.356,0.0432,137.028,0.173
83,262533,0.269,0.64,0.743,0,10,0.101,-4.08,0.0379,122.035,0.361
69,218520,0.255,0.63,0.894,0,10,0.181,-4.592,0.0544,142.051,0.364
73,199946,0.271,0.519,0.749,0,6,0.119,-3.318,0.0405,147.905,0.29
72,298853,0.107,0.64,0.889,0,2,0.339,-3.073,0.322,99.931,0.436
31,224946,0.0251,0.815,0.808,5.37E-06,6,0.12,-4.614,0.0511,110.063,0.746
81,228706,0.603,0.609,0.445,6.77E-06,7,0.104,-9.129,0.106,118.393,0.166
67,209360,0.0392,0.551,0.696,0,2,0.127,-6.192,0.0265,112.024,0.354
76,241853,0.0187,0.338,0.803,0,8,0.136,-5.412,0.0413,151.994,0.4
